8;2;O;-;eusebe;B;pierre_julien_eymard;p;;
8;4;M;W;cure_d_ars;p;;;;
8;5;O;-;ded_s_maria_maggiore;;;;;
8;6;L;W;transfiguration;;;;;
8;7;O;-;sixtus-ii.co;Mm;cajetan;p;;
8;8;M;W;dominique;p;;;;
8;9;O;-;edith.stein;rF&Mf;;;;
8;10;F;R;laurent;d&M;;;;
8;11;M;W;claire;V;;;;
8;12;O;-;jeanne_de_chantal;rF;;;;
8;13;O;-;pontian_hippolytus;Mm;;;;
8;14;M;R;maximilien_kolbe;p&M;;;;
8;15;S;W;mary_assumption;;;;;
8;16;O;-;stephen_hungary;K;;;;
8;19;O;-;jean_eudes;p;;;;
8;20;M;W;bernard_de_clairvaux;Ab&D;;;;
8;21;M;W;pius_x;P;;;;
8;22;M;W;mary_queenship;;;;;
8;23;O;-;rose_lima;V;;;;
8;24;F;R;barthelemi;Ap;;;;
8;25;O;-;louis;K;joseph_calasanz;p;;
8;27;M;W;monique;;;;;
8;28;M;W;augustin_hippone;B&D;;;;
8;29;M;R;beheading_jb;;;;;
9;3;M;W;gregory_the_great;P&D;;;;
9;8;F;W;mary_birth;;;;;
9;9;O;-;peter_claver;p;;;;
9;12;O;-;mary_holyname;;;;;
9;13;M;W;jean_chrysostome;B&D;;;;
9;14;F;R;exaltation_croix;;;;;
9;15;M;W;ND_Douleurs;;;;;
9;16;M;R;corneille_cyprien;Mm;;;;
9;17;O;-;robert_bellarmine;B&D;;;;
9;19;O;-;januarius;B&M;;;;
9;20;M;R;andre_kim_taegon.co;Mm;;;;
9;21;F;R;matthieu_ev;Ap&Ev;;;;
9;23;M;W;padre_pio;p;;;;
9;26;O;-;come_damien;Mm;;;;
9;27;M;W;vincent_paul;p;;;;
9;28;O;-;wenceslas;M;lorenzo_ruiz.co;Mm;;
9;29;F;W;archangels;Aa;;;;
9;30;M;W;jerome;p&D;;;;
10;1;M;W;therese_enfant_jesus;V&D;;;;
10;2;M;W;angels_guardians;;;;;
10;4;M;W;francis_assisi;;;;;
10;6;O;-;bruno;p;;;;
10;7;M;W;ND_Rosaire;;;;;
10;9;O;-;denis.co;Mm;jean_leonardi;p;;
10;11;O;-;jean_XXIII;P;;;;
10;14;O;-;calliste;P&M;;;;
10;15;M;W;teresa_avila;V&D;;;;
10;16;O;-;hedwige;rF;mm_alacocque;V;;
10;17;M;R;ignace_antioche;B&M;;;;
10;18;F;R;luc_ev;Ev;;;;
10;19;O;-;jean_brebeuf.co;Mm;paul_cross;p;;
10;22;O;-;jean_paul_II;P;;;;
10;23;O;-;jean_capistran;p;;;;
10;24;O;-;antoine_marie_claret;B;;;;
10;28;F;R;simon_jude;App;;;;
11;1;S;W;toussaint;;;;;
11;2;L;B;defunts;;;;;
11;3;O;-;martin_porres;rM;;;;
11;4;M;W;charles_borromee;B;;;;
11;9;L;W;ded_jean_de_latran;;;;;
11;10;M;W;leon;P&D;;;;
11;11;M;W;martin_tours;B;;;;
11;12;M;R;josaphat;B&M;;;;
11;15;O;-;albert_great;B&D;;;;
11;16;O;-;margaret_scotland;Q;gertrude;V;;
11;17;M;W;elizabeth_hungary;rF;;;;
11;18;O;-;ded_peter_paul;;;;;
11;21;M;W;mary_presentation;;;;;
11;22;M;R;cecilia;V&Mf;;;;
11;23;O;-;clement_I;P&M;colomban;rM;;
11;24;M;R;andre_dung_lac.co;Mm;;;;
11;25;O;-;cath_alexandrie;V&Mf;;;;
11;30;F;R;andre_app;Ap;;;;
12;3;M;W;francois_xavier;p;;;;
12;4;O;-;jean_damascene;p&D;;;;
12;6;O;-;nicolas;B;;;;
12;7;M;W;ambroise;B&D;;;;
12;8;S;W;mary_immaculee_conception;;;;;
12;9;O;-;juan_diego;;;;;
12;11;O;-;damasus_I;P;;;;
12;12;O;-;ND_Guadalupe;;;;;
12;13;M;R;lucy;V&Mf;;;;
12;14;M;W;jean_de_la_croix;p&D;;;;
12;21;O;-;peter_canisius;p&D;;;;
12;23;O;-;john_kanty;p;;;;
12;25;S;G;noel;;;;;
12;26;F;R;etienne;M1;;;;
12;27;F;W;jean_app;Ap&Ev;;;;
12;28;F;R;innocents;Mm;;;;
12;29;O;-;thomas_beckett;B&M;;;;
12;31;O;-;silvestre;P;;;;
